task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
451	bf/ecb350	1202344	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_7)	COMPLETED	0	2024-11-07 17:54:44.597	3.6s	55ms	115.4%	1.5 MB	3.9 MB	3.7 MB	3.1 MB
341	11/e619f5	1202235	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_5)	COMPLETED	0	2024-11-07 17:54:24.532	28.6s	23s	144.0%	187.8 MB	8.3 GB	126.4 MB	98.3 KB
359	82/cf5d84	1202253	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_6)	COMPLETED	0	2024-11-07 17:54:25.035	28.1s	23s	166.0%	230.1 MB	8.3 GB	126.3 MB	72.9 KB
402	a9/343287	1202293	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_2)	COMPLETED	0	2024-11-07 17:54:38.280	14.8s	9.9s	237.8%	961.4 MB	104.9 GB	58.1 MB	4.2 MB
413	c6/f90bec	1202306	NFCORE_HIC:HIC:HIC_PLOT_DIST_VS_COUNTS (MJ21_1)	COMPLETED	0	2024-11-07 17:54:38.628	14.5s	11s	290.3%	145.3 MB	8.4 GB	77.6 MB	86.2 KB
419	b2/2b72df	1202310	NFCORE_HIC:HIC:HIC_PLOT_DIST_VS_COUNTS (MJ21_1)	COMPLETED	0	2024-11-07 17:54:38.725	14.4s	10s	235.1%	117.4 MB	8.4 GB	77.6 MB	87.9 KB
411	8f/d0be89	1202307	NFCORE_HIC:HIC:HIC_PLOT_DIST_VS_COUNTS (MJ21_1)	COMPLETED	0	2024-11-07 17:54:38.651	14.5s	10s	237.9%	143.2 MB	8.4 GB	77.8 MB	94.7 KB
425	f3/467d95	1202314	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.182	9.9s	7s	280.7%	702.4 MB	104.9 GB	48.8 MB	845.7 KB
430	26/a53d9d	1202315	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.234	9.9s	5s	342.5%	108 MB	8.2 GB	40.9 MB	51.2 KB
422	3d/1f3f74	1202316	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.332	9.8s	5.9s	298.5%	99.5 MB	8.2 GB	40.9 MB	51.8 KB
